Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Loại hình,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng,Số tòa,Số căn hộ,Hướng nhà,Hướng ban công,Mã lịch sử giá
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,101.0,118.81188201904297,3.0,2.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,82.0,115.8536605834961,2.0,2.0,4,2,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,N
Trúc Bạch,Ba Đình,Công ty CP Tháp nước Hà Nội,Hà Nội Aqua Central,Căn hộ chung cư,118.0,118.6440658569336,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,55.0,145.4545440673828,1.0,1.0,4,3,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,143.0,160.8391571044922,4.0,3.0,4,3,Không có thông tin,,,3.0,1544.0,Nam,Không có thông tin,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,115.0,156.52174377441406,3.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,57.0,140.3508758544922,1.0,1.0,4,3,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,142.0,80.0,3.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Giảng Võ,Ba Đình,Công ty CP Tập đoàn Trung Thủy,Lancaster Hà Nội,Căn hộ chung cư,120.0,83.33333587646484,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,Căn hộ chung cư,87.0,114.9425277709961,2.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
