Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Loại hình,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng,Số tòa,Số căn hộ,Hướng nhà,Hướng ban công,Mã lịch sử giá
Giảng Võ,Ba Đình,Công ty CP Đầu tư Phát triển nhà Gia Bảo,Chung cư D2 Giảng Võ,Căn hộ chung cư,200.0,75.0,4.0,3.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,Q
Giảng Võ,Ba Đình,Tổng công ty 36 - Bộ quốc phòng,The Golden Armor,Căn hộ chung cư,105.0,123.80952453613281,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Đông - Nam,Q
Giảng Võ,Ba Đình,Công ty TNHH Hoà Bình,Hà Nội Golden Lake,Căn hộ chung cư,45.0,163.77777099609375,1.0,1.0,3,3,Không có thông tin,,,,,Đông - Bắc,Tây - Nam,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,87.0,135.0,2.0,2.0,3,2,Không có thông tin,,,,,Tây - Nam,Đông - Bắc,N
Trúc Bạch,Ba Đình,Công ty CP Tháp nước Hà Nội,Hà Nội Aqua Central,Căn hộ chung cư,110.0,141.81817626953125,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Kim Mã,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,75.0,40.0,2.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Ngọc Khánh,Ba Đình,Công ty CP Hạ tầng và Bất động sản Việt Nam,Platinum Residences,Căn hộ chung cư,108.0,81.48148345947266,2.0,2.0,4,4,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,192.0,75.52083587646484,3.0,3.0,4,3,Không có thông tin,,,,,Không có thông tin,Tây - Nam,Q
Giảng Võ,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,65.0,39.53845977783203,2.0,1.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,90.0,122.22222137451172,3.0,2.0,4,3,Không có thông tin,,,,,Đông - Nam,Đông - Nam,N
